levels_orig,Public Sector (kf decision)
6080,"work for public, stable"
6180,"work for public, stable"
6370,"work for public, stable"
0570,"work for public, stable"
0580,"work for public, stable"
0590,"work for public, stable"
0670,"work for public, stable"
0680,"work for public, stable"
0690,"work for public, stable"
6770,"work for public, stable"
7860,"work for public, stable"
7870,"work for public, stable"
7880,"work for public, stable"
7890,"work for public, stable"
8191,"work for public, stable"
8192,"work for public, stable"
8270,"work for public, stable"
8290,"work for public, stable"
8370,"work for public, stable"
8380,"work for public, stable"
9170,"work for public, stable"
9180,"work for public, stable"
9370,"work for public, stable"
9380,"work for public, stable"
9390,"work for public, stable"
9470,"work for public, stable"
9480,"work for public, stable"
9490,"work for public, stable"
9570,"work for public, stable"
9590,"work for public, stable"
9670,"work for public, stable"
9680,"work for public, stable"
9690,"work for public, stable"
9770,"work for public, stable"
9780,"work for public, stable"
9790,"work for public, stable"
9870,"work for public, stable"
0170,n
0180,n
0190,n
0270,n
0280,n
0290,n
0370,n
0380,n
0390,n
0470,n
0480,n
0490,n
0770,n
1070,n
1080,n
1090,n
1170,n
1180,n
1190,n
1270,n
1280,n
1290,n
1370,n
1390,n
1470,n
1480,n
1490,n
1570,n
1590,n
1670,n
1691,n
1770,n
1790,n
1870,n
1880,n
1890,n
1990,n
2070,n
2090,n
2170,n
2180,n
2190,n
2270,n
2280,n
2290,n
2370,n
2380,n
2390,n
2470,n
2480,n
2490,n
2570,n
2590,n
2670,n
2680,n
2690,n
2770,n
2780,n
2790,n
2870,n
2880,n
2890,n
2970,n
2980,n
2990,n
3070,n
3080,n
3095,n
3170,n
3180,n
3291,n
3365,n
3370,n
3380,n
3390,n
3470,n
3490,n
3570,n
3580,n
3590,n
3670,n
3680,n
3690,n
3770,n
3780,n
3790,n
3875,n
3895,n
3960,n
3970,n
3980,n
3990,n
4070,n
4080,n
4090,n
4170,n
4180,n
4195,n
4265,n
4270,n
4280,n
4290,n
4370,n
4380,n
4390,n
4470,n
4480,n
4490,n
4560,n
4570,n
4580,n
4585,n
4590,n
4670,n
4680,n
4690,n
4770,n
4780,n
4795,n
4870,n
4880,n
4890,n
4971,n
4972,n
4980,n
4990,n
5070,n
5080,n
5090,n
5170,n
5180,n
5190,n
5275,n
5280,n
5295,n
5370,n
5381,n
5391,n
5470,n
5480,n
5490,n
5570,n
5580,n
5593,n
5670,n
5680,n
5690,n
5790,n
6070,n
6090,n
6170,n
6190,n
6270,n
6280,n
6290,n
6380,n
6390,n
6470,n
6480,n
6490,n
6570,n
6590,n
6670,n
6672,n
6680,n
6690,n
6695,n
6780,n
6870,n
6880,n
6890,n
6970,n
6991,n
6992,n
7071,n
7072,n
7080,n
7181,n
7190,n
7270,n
7280,n
7290,n
7370,n
7380,n
7390,n
7460,n
7470,n
7480,n
7490,n
7570,n
7580,n
7590,n
7670,n
7680,n
7690,n
7770,n
7780,n
7790,n
7970,n
7980,n
7990,n
8070,n
8080,n
8090,n
8170,n
8180,n
8390,n
8470,n
8561,n
8562,n
8563,n
8564,n
8570,n
8580,n
8590,n
8660,n
8670,n
8680,n
8690,n
8770,n
8780,n
8790,n
8870,n
8891,n
8970,n
8980,n
8990,n
9070,n
9080,n
9090,n
9160,n
9190,n
9290,n
9920,n
